date,visitor_count,day_of_week,month,day_of_year
2025-01-01,1757,Wednesday,1,1
2025-01-02,1489,Thursday,1,2
2025-01-03,1465,Friday,1,3
2025-01-04,2690,Saturday,1,4
2025-01-05,2961,Sunday,1,5
2025-01-06,1462,Monday,1,6
2025-01-07,1496,Tuesday,1,7
2025-01-08,1574,Wednesday,1,8
2025-01-09,1395,Thursday,1,9
2025-01-10,1221,Friday,1,10
2025-01-11,2277,Saturday,1,11
2025-01-12,3060,Sunday,1,12
2025-01-13,1203,Monday,1,13
2025-01-14,1741,Tuesday,1,14
2025-01-15,1571,Wednesday,1,15
2025-01-16,1398,Thursday,1,16
2025-01-17,1537,Friday,1,17
2025-01-18,3155,Saturday,1,18
2025-01-19,2727,Sunday,1,19
2025-01-20,1386,Monday,1,20
2025-01-21,1571,Tuesday,1,21
2025-01-22,1498,Wednesday,1,22
2025-01-23,1754,Thursday,1,23
2025-01-24,1204,Friday,1,24
2025-01-25,3073,Saturday,1,25
2025-01-26,2922,Sunday,1,26
2025-01-27,1539,Monday,1,27
2025-01-28,1608,Tuesday,1,28
2025-01-29,1252,Wednesday,1,29
2025-01-30,1437,Thursday,1,30
2025-01-31,1224,Friday,1,31
2025-02-01,2649,Saturday,2,32
2025-02-02,2825,Sunday,2,33
2025-02-03,1560,Monday,2,34
2025-02-04,1307,Tuesday,2,35
2025-02-05,1536,Wednesday,2,36
2025-02-06,1544,Thursday,2,37
2025-02-07,1746,Friday,2,38
2025-02-08,2360,Saturday,2,39
2025-02-09,2355,Sunday,2,40
2025-02-10,1582,Monday,2,41
2025-02-11,1781,Tuesday,2,42
2025-02-12,1330,Wednesday,2,43
2025-02-13,1796,Thursday,2,44
2025-02-14,1717,Friday,2,45
2025-02-15,2714,Saturday,2,46
2025-02-16,2924,Sunday,2,47
2025-02-17,1656,Monday,2,48
2025-02-18,1627,Tuesday,2,49
2025-02-19,1365,Wednesday,2,50
2025-02-20,1623,Thursday,2,51
2025-02-21,1313,Friday,2,52
2025-02-22,2426,Saturday,2,53
2025-02-23,2612,Sunday,2,54
2025-02-24,1323,Monday,2,55
2025-02-25,1534,Tuesday,2,56
2025-02-26,1241,Wednesday,2,57
2025-02-27,1353,Thursday,2,58
2025-02-28,1668,Friday,2,59
2025-03-01,2113,Saturday,3,60
2025-03-02,1925,Sunday,3,61
2025-03-03,1163,Monday,3,62
2025-03-04,910,Tuesday,3,63
2025-03-05,1061,Wednesday,3,64
2025-03-06,1105,Thursday,3,65
2025-03-07,1161,Friday,3,66
2025-03-08,1748,Saturday,3,67
2025-03-09,1764,Sunday,3,68
2025-03-10,867,Monday,3,69
2025-03-11,925,Tuesday,3,70
2025-03-12,993,Wednesday,3,71
2025-03-13,1154,Thursday,3,72
2025-03-14,816,Friday,3,73
2025-03-15,1958,Saturday,3,74
2025-03-16,1890,Sunday,3,75
2025-03-17,975,Monday,3,76
2025-03-18,892,Tuesday,3,77
2025-03-19,1054,Wednesday,3,78
2025-03-20,1111,Thursday,3,79
2025-03-21,1072,Friday,3,80
2025-03-22,1946,Saturday,3,81
2025-03-23,1530,Sunday,3,82
