date,visitor_count,day_of_week,month,day_of_year
2022-01-01,2354,Saturday,1,1
2022-01-02,2418,Sunday,1,2
2022-01-03,1450,Monday,1,3
2022-01-04,1637,Tuesday,1,4
2022-01-05,1566,Wednesday,1,5
2022-01-06,1505,Thursday,1,6
2022-01-07,1305,Friday,1,7
2022-01-08,2967,Saturday,1,8
2022-01-09,2373,Sunday,1,9
2022-01-10,1575,Monday,1,10
2022-01-11,1232,Tuesday,1,11
2022-01-12,1214,Wednesday,1,12
2022-01-13,1535,Thursday,1,13
2022-01-14,1246,Friday,1,14
2022-01-15,2890,Saturday,1,15
2022-01-16,2311,Sunday,1,16
2022-01-17,1633,Monday,1,17
2022-01-18,1677,Tuesday,1,18
2022-01-19,1576,Wednesday,1,19
2022-01-20,1722,Thursday,1,20
2022-01-21,1571,Friday,1,21
2022-01-22,3081,Saturday,1,22
2022-01-23,2420,Sunday,1,23
2022-01-24,1233,Monday,1,24
2022-01-25,1669,Tuesday,1,25
2022-01-26,1667,Wednesday,1,26
2022-01-27,1368,Thursday,1,27
2022-01-28,1346,Friday,1,28
2022-01-29,2433,Saturday,1,29
2022-01-30,2680,Sunday,1,30
2022-01-31,1546,Monday,1,31
2022-02-01,1333,Tuesday,2,32
2022-02-02,1451,Wednesday,2,33
2022-02-03,1795,Thursday,2,34
2022-02-04,1486,Friday,2,35
2022-02-05,3082,Saturday,2,36
2022-02-06,2474,Sunday,2,37
2022-02-07,1469,Monday,2,38
2022-02-08,1222,Tuesday,2,39
2022-02-09,1601,Wednesday,2,40
2022-02-10,1469,Thursday,2,41
2022-02-11,1231,Friday,2,42
2022-02-12,3223,Saturday,2,43
2022-02-13,2915,Sunday,2,44
2022-02-14,1684,Monday,2,45
2022-02-15,1647,Tuesday,2,46
2022-02-16,1224,Wednesday,2,47
2022-02-17,1287,Thursday,2,48
2022-02-18,1465,Friday,2,49
2022-02-19,2775,Saturday,2,50
2022-02-20,2803,Sunday,2,51
2022-02-21,1611,Monday,2,52
2022-02-22,1620,Tuesday,2,53
2022-02-23,1339,Wednesday,2,54
2022-02-24,1497,Thursday,2,55
2022-02-25,1247,Friday,2,56
2022-02-26,2383,Saturday,2,57
2022-02-27,2852,Sunday,2,58
2022-02-28,1223,Monday,2,59
2022-03-01,992,Tuesday,3,60
2022-03-02,1164,Wednesday,3,61
2022-03-03,1163,Thursday,3,62
2022-03-04,895,Friday,3,63
2022-03-05,1853,Saturday,3,64
2022-03-06,1866,Sunday,3,65
2022-03-07,911,Monday,3,66
2022-03-08,1145,Tuesday,3,67
2022-03-09,811,Wednesday,3,68
2022-03-10,938,Thursday,3,69
2022-03-11,1117,Friday,3,70
2022-03-12,1640,Saturday,3,71
2022-03-13,1902,Sunday,3,72
2022-03-14,937,Monday,3,73
2022-03-15,1003,Tuesday,3,74
2022-03-16,1187,Wednesday,3,75
2022-03-17,1129,Thursday,3,76
2022-03-18,981,Friday,3,77
2022-03-19,1919,Saturday,3,78
2022-03-20,1862,Sunday,3,79
2022-03-21,1053,Monday,3,80
2022-03-22,874,Tuesday,3,81
2022-03-23,821,Wednesday,3,82
2022-03-24,1043,Thursday,3,83
2022-03-25,909,Friday,3,84
2022-03-26,1887,Saturday,3,85
2022-03-27,1752,Sunday,3,86
2022-03-28,809,Monday,3,87
2022-03-29,903,Tuesday,3,88
