date,visitor_count,day_of_week,month,day_of_year
2024-01-01,1388,Monday,1,1
2024-01-02,1630,Tuesday,1,2
2024-01-03,1532,Wednesday,1,3
2024-01-04,1507,Thursday,1,4
2024-01-05,1360,Friday,1,5
2024-01-06,2486,Saturday,1,6
2024-01-07,2894,Sunday,1,7
2024-01-08,1626,Monday,1,8
2024-01-09,1618,Tuesday,1,9
2024-01-10,1448,Wednesday,1,10
2024-01-11,1581,Thursday,1,11
2024-01-12,1605,Friday,1,12
2024-01-13,2550,Saturday,1,13
2024-01-14,2810,Sunday,1,14
2024-01-15,1368,Monday,1,15
2024-01-16,1602,Tuesday,1,16
2024-01-17,1210,Wednesday,1,17
2024-01-18,1474,Thursday,1,18
2024-01-19,1358,Friday,1,19
2024-01-20,3218,Saturday,1,20
2024-01-21,2935,Sunday,1,21
2024-01-22,1762,Monday,1,22
2024-01-23,1394,Tuesday,1,23
2024-01-24,1493,Wednesday,1,24
2024-01-25,1259,Thursday,1,25
2024-01-26,1340,Friday,1,26
2024-01-27,3119,Saturday,1,27
2024-01-28,2433,Sunday,1,28
2024-01-29,1426,Monday,1,29
2024-01-30,1392,Tuesday,1,30
2024-01-31,1733,Wednesday,1,31
2024-02-01,1517,Thursday,2,32
2024-02-02,1353,Friday,2,33
2024-02-03,2677,Saturday,2,34
2024-02-04,2383,Sunday,2,35
2024-02-05,1578,Monday,2,36
2024-02-06,1620,Tuesday,2,37
2024-02-07,1691,Wednesday,2,38
2024-02-08,1752,Thursday,2,39
2024-02-09,1699,Friday,2,40
2024-02-10,3150,Saturday,2,41
2024-02-11,2721,Sunday,2,42
2024-02-12,1767,Monday,2,43
2024-02-13,1427,Tuesday,2,44
2024-02-14,1799,Wednesday,2,45
2024-02-15,1493,Thursday,2,46
2024-02-16,1508,Friday,2,47
2024-02-17,2751,Saturday,2,48
2024-02-18,2168,Sunday,2,49
2024-02-19,1259,Monday,2,50
2024-02-20,1375,Tuesday,2,51
2024-02-21,1223,Wednesday,2,52
2024-02-22,1283,Thursday,2,53
2024-02-23,1475,Friday,2,54
2024-02-24,2763,Saturday,2,55
2024-02-25,3082,Sunday,2,56
2024-02-26,1724,Monday,2,57
2024-02-27,1683,Tuesday,2,58
2024-02-28,1708,Wednesday,2,59
2024-02-29,1400,Thursday,2,60
2024-03-01,821,Friday,3,61
2024-03-02,1866,Saturday,3,62
2024-03-03,1740,Sunday,3,63
2024-03-04,1013,Monday,3,64
2024-03-05,1187,Tuesday,3,65
2024-03-06,871,Wednesday,3,66
2024-03-07,901,Thursday,3,67
2024-03-08,1149,Friday,3,68
2024-03-09,1598,Saturday,3,69
2024-03-10,1734,Sunday,3,70
2024-03-11,1137,Monday,3,71
2024-03-12,940,Tuesday,3,72
2024-03-13,1068,Wednesday,3,73
2024-03-14,868,Thursday,3,74
2024-03-15,900,Friday,3,75
2024-03-16,1453,Saturday,3,76
2024-03-17,1738,Sunday,3,77
2024-03-18,1030,Monday,3,78
2024-03-19,849,Tuesday,3,79
2024-03-20,1128,Wednesday,3,80
2024-03-21,1145,Thursday,3,81
2024-03-22,845,Friday,3,82
2024-03-23,2040,Saturday,3,83
2024-03-24,1445,Sunday,3,84
2024-03-25,864,Monday,3,85
2024-03-26,894,Tuesday,3,86
2024-03-27,825,Wednesday,3,87
2024-03-28,1128,Thursday,3,88
2024-03-29,903,Friday,3,89
2024-03-30,1894,Saturday,3,90
2024-03-31,1570,Sunday,3,91
2024-04-01,1184,Monday,4,92
2024-04-02,1082,Tuesday,4,93
2024-04-03,947,Wednesday,4,94
2024-04-04,1037,Thursday,4,95
2024-04-05,843,Friday,4,96
2024-04-06,1673,Saturday,4,97
2024-04-07,2051,Sunday,4,98
2024-04-08,985,Monday,4,99
2024-04-09,865,Tuesday,4,100
2024-04-10,871,Wednesday,4,101
2024-04-11,1144,Thursday,4,102
2024-04-12,1088,Friday,4,103
2024-04-13,1767,Saturday,4,104
2024-04-14,2101,Sunday,4,105
2024-04-15,921,Monday,4,106
2024-04-16,1166,Tuesday,4,107
2024-04-17,926,Wednesday,4,108
2024-04-18,897,Thursday,4,109
2024-04-19,1058,Friday,4,110
2024-04-20,1634,Saturday,4,111
2024-04-21,1856,Sunday,4,112
2024-04-22,894,Monday,4,113
2024-04-23,884,Tuesday,4,114
2024-04-24,812,Wednesday,4,115
2024-04-25,823,Thursday,4,116
2024-04-26,1091,Friday,4,117
2024-04-27,1963,Saturday,4,118
2024-04-28,1982,Sunday,4,119
2024-04-29,841,Monday,4,120
2024-04-30,891,Tuesday,4,121
2024-05-01,1079,Wednesday,5,122
2024-05-02,1064,Thursday,5,123
2024-05-03,815,Friday,5,124
2024-05-04,1611,Saturday,5,125
2024-05-05,1956,Sunday,5,126
2024-05-06,942,Monday,5,127
2024-05-07,1106,Tuesday,5,128
2024-05-08,814,Wednesday,5,129
2024-05-09,1062,Thursday,5,130
2024-05-10,988,Friday,5,131
2024-05-11,1769,Saturday,5,132
2024-05-12,1593,Sunday,5,133
2024-05-13,974,Monday,5,134
2024-05-14,1171,Tuesday,5,135
2024-05-15,1026,Wednesday,5,136
2024-05-16,856,Thursday,5,137
2024-05-17,819,Friday,5,138
2024-05-18,1767,Saturday,5,139
2024-05-19,2047,Sunday,5,140
2024-05-20,842,Monday,5,141
2024-05-21,981,Tuesday,5,142
2024-05-22,859,Wednesday,5,143
2024-05-23,941,Thursday,5,144
2024-05-24,820,Friday,5,145
2024-05-25,2123,Saturday,5,146
2024-05-26,1745,Sunday,5,147
2024-05-27,1002,Monday,5,148
2024-05-28,1076,Tuesday,5,149
2024-05-29,993,Wednesday,5,150
2024-05-30,992,Thursday,5,151
2024-05-31,815,Friday,5,152
2024-06-01,1583,Saturday,6,153
2024-06-02,1726,Sunday,6,154
2024-06-03,939,Monday,6,155
2024-06-04,818,Tuesday,6,156
2024-06-05,1048,Wednesday,6,157
2024-06-06,980,Thursday,6,158
2024-06-07,931,Friday,6,159
2024-06-08,1521,Saturday,6,160
2024-06-09,1448,Sunday,6,161
2024-06-10,997,Monday,6,162
2024-06-11,1059,Tuesday,6,163
2024-06-12,832,Wednesday,6,164
2024-06-13,895,Thursday,6,165
2024-06-14,1147,Friday,6,166
2024-06-15,2054,Saturday,6,167
2024-06-16,1720,Sunday,6,168
2024-06-17,912,Monday,6,169
2024-06-18,948,Tuesday,6,170
2024-06-19,824,Wednesday,6,171
